year,month,day,stid,tmax,tmin,tavg,hmax,hmin,havg,vdef,rain,tr05,tr25,tr60,tr75,,,,,
1994,1,1,LAHO,-996,-996,-996,86.2,41.26,60.58,-996,0,-999,-999,-999,-999,,,,TMAX,Maximum Air Temperature [F]
1994,1,2,LAHO,-996,-996,-996,95.7,57.72,78.09,-996,0.01,-999,-999,-999,-999,,,,TMIN,Minimum Air Temperature [F]
1994,1,3,LAHO,-996,-996,-996,85.9,45.28,67.5,-996,0,-999,-999,-999,-999,,,,TAVG,AverageAir Temperature [F]
1994,1,4,LAHO,-996,-996,-996,87.6,48,66.17,-996,0,-999,-999,-999,-999,,,,HMAX,Maximum Relative Humidity [pct]
1994,1,5,LAHO,-996,-996,-996,90.9,26.2,59.45,-996,0,-999,-999,-999,-999,,,,HMIN,Minimum Relative Humidity [pct]
1994,1,6,LAHO,-996,-996,-996,92.9,64.03,76.39,-996,0,-999,-999,-999,-999,,,,HAVG,Average Relative Humidity [pct]
1994,1,7,LAHO,-996,-996,-996,77.77,37.61,55.69,-996,0,-999,-999,-999,-999,,,,VDEF,Average Daily Vapor Deficit [mb]
1994,1,8,LAHO,-996,-996,-996,85.5,38.41,63.6,-996,0,-999,-999,-999,-999,,,,RAIN,Daily Rainfall [in]
1994,1,9,LAHO,-996,-996,-996,83.8,29.71,65.7,-996,0,-999,-999,-999,-999,,,,TR05,Soil Moisture Calibrated delta-T at 5 cm [C]
1994,1,10,LAHO,-996,-996,-996,88.6,42.58,71.62,-996,0,-999,-999,-999,-999,,,,TR25,Soil Moisture Calibrated delta-T at 25 cm [C]
1994,1,11,LAHO,-996,-996,-996,99.4,76.5,88.63,-996,0,-999,-999,-999,-999,,,,TR60,Soil Moisture Calibrated delta-T at 60 cm [C]
1994,1,12,LAHO,-996,-996,-996,100,74.27,93.93,-996,0.01,-999,-999,-999,-999,,,,TR75,Soil Moisture Calibrated delta-T at 75 cm [C]
1994,1,13,LAHO,-996,-996,-996,87.5,31.97,63.41,-996,0,-999,-999,-999,-999,,,,,
1994,1,14,LAHO,-996,-996,-996,90.8,45.13,69.61,-996,0,-999,-999,-999,-999,,,,,
1994,1,15,LAHO,-996,-996,-996,89.2,36.73,62.81,-996,0,-999,-999,-999,-999,,,,,
1994,1,16,LAHO,-996,-996,-996,98.5,53.59,75.42,-996,0.06,-999,-999,-999,-999,,,,,
1994,1,17,LAHO,-996,-996,-996,80.1,42.9,61.85,-996,0,-999,-999,-999,-999,,,,,
1994,1,18,LAHO,-996,-996,-996,80,38.7,58.98,-996,0,-999,-999,-999,-999,,,,,
1994,1,19,LAHO,-996,-996,-996,96,44.58,72.16,-996,0,-999,-999,-999,-999,,,,,
1994,1,20,LAHO,-996,-996,-996,98.1,65.03,82.87,-996,0,-999,-999,-999,-999,,,,,
1994,1,21,LAHO,-996,-996,-996,96.7,46.24,72.16,-996,0,-999,-999,-999,-999,,,,,
1994,1,22,LAHO,-996,-996,-996,94.4,62.93,82.87,-996,0.01,-999,-999,-999,-999,,,,,
1994,1,23,LAHO,-996,-996,-996,97,56.4,83.01,-996,0,-999,-999,-999,-999,,,,,
1994,1,24,LAHO,-996,-996,-996,98.6,72.38,85.85,-996,0,-999,-999,-999,-999,,,,,
1994,1,25,LAHO,-996,-996,-996,100,86.6,95.62,-996,0.01,-999,-999,-999,-999,,,,,
1994,1,26,LAHO,-996,-996,-996,99.7,26.92,77.64,-996,0.1,-999,-999,-999,-999,,,,,
1994,1,27,LAHO,-996,-996,-996,88.7,48.99,70.04,-996,0,-999,-999,-999,-999,,,,,
1994,1,28,LAHO,-996,-996,-996,85.9,49.44,69.24,-996,0,-999,-999,-999,-999,,,,,
1994,1,29,LAHO,-996,-996,-996,95,44.16,71.21,-996,0,-999,-999,-999,-999,,,,,
1994,1,30,LAHO,-996,-996,-996,93.9,70.76,82.85,-996,0.01,-999,-999,-999,-999,,,,,
1994,1,31,LAHO,-996,-996,-996,83.6,46.97,70.93,-996,0,-999,-999,-999,-999,,,,,
1994,2,1,LAHO,-996,-996,-996,89.1,28.8,66.01,-996,0.01,-999,-999,-999,-999,,,,,
1994,2,2,LAHO,-996,-996,-996,90.8,24.85,59.74,-996,0,-999,-999,-999,-999,,,,,
1994,2,3,LAHO,-996,-996,-996,88.7,28.93,57.89,-996,0,-999,-999,-999,-999,,,,,
1994,2,4,LAHO,-996,-996,-996,83.4,39.13,61.77,-996,0,-999,-999,-999,-999,,,,,
1994,2,5,LAHO,-996,-996,-996,96.7,30.79,58.98,-996,0,-999,-999,-999,-999,,,,,
1994,2,6,LAHO,-996,-996,-996,91.7,37.01,65.48,-996,0,-999,-999,-999,-999,,,,,
1994,2,7,LAHO,-996,-996,-996,89.2,53.47,69.09,-996,0,-999,-999,-999,-999,,,,,
1994,2,8,LAHO,-996,-996,-996,82.9,51.15,64.94,-996,0,-999,-999,-999,-999,,,,,
1994,2,9,LAHO,-996,-996,-996,53.96,31.39,45.37,-996,0,-999,-999,-999,-999,,,,,
1994,2,10,LAHO,-996,-996,-996,78.01,31.69,52.87,-996,0,-999,-999,-999,-999,,,,,
1994,2,11,LAHO,-996,-996,-996,82.8,12.75,48.96,-996,0,-999,-999,-999,-999,,,,,
1994,2,12,LAHO,-996,-996,-996,89.1,36.81,57.2,-996,0,-999,-999,-999,-999,,,,,
1994,2,13,LAHO,-996,-996,-996,73.1,11.74,41.51,-996,0,-999,-999,-999,-999,,,,,
1994,2,14,LAHO,-996,-996,-996,61.28,11.38,31.12,-996,0,-999,-999,-999,-999,,,,,
1994,2,15,LAHO,-996,-996,-996,64.06,19.19,36.91,-996,0,-999,-999,-999,-999,,,,,
1994,2,16,LAHO,-996,-996,-996,77.16,25.8,50.89,-996,0,-999,-999,-999,-999,,,,,
1994,2,17,LAHO,-996,-996,-996,98,36.05,65.95,-996,0,-999,-999,-999,-999,,,,,
1994,2,18,LAHO,-996,-996,-996,80.4,46.89,66.13,-996,0,-999,-999,-999,-999,,,,,
1994,2,19,LAHO,-996,-996,-996,87.2,20.64,67.79,-996,0,-999,-999,-999,-999,,,,,
1994,2,20,LAHO,-996,-996,-996,98.4,70.52,85.88,-996,0,-999,-999,-999,-999,,,,,
1994,2,21,LAHO,-996,-996,-996,97.5,80.5,91.64,-996,0.39,-999,-999,-999,-999,,,,,
1994,2,22,LAHO,-996,-996,-996,99.9,95.3,98.31,-996,0.24,-999,-999,-999,-999,,,,,
1994,2,23,LAHO,-996,-996,-996,95.2,70.88,81.82,-996,0,-999,-999,-999,-999,,,,,
1994,2,24,LAHO,-996,-996,-996,94.4,36.45,71.89,-996,0.01,-999,-999,-999,-999,,,,,
1994,2,25,LAHO,-996,-996,-996,88.7,33.76,56.74,-996,0,-999,-999,-999,-999,,,,,
1994,2,26,LAHO,-996,-996,-996,80.8,32.57,56.34,-996,0,-999,-999,-999,-999,,,,,
1994,2,27,LAHO,-996,-996,-996,90.6,34.72,63.73,-996,0,-999,-999,-999,-999,,,,,
1994,2,28,LAHO,-996,-996,-996,99.8,66.33,87.06,-996,0.08,-999,-999,-999,-999,,,,,
1994,3,1,LAHO,-996,-996,-996,99.8,74.96,92.48,-996,0.12,-999,-999,-999,-999,,,,,
1994,3,2,LAHO,-996,-996,-996,96.7,37.2,73.14,-996,0,-999,-999,-999,-999,,,,,
1994,3,3,LAHO,-996,-996,-996,91.1,23.13,61.2,-996,0,-999,-999,-999,-999,,,,,
1994,3,4,LAHO,-996,-996,-996,83.7,27.01,53.39,-996,0,-999,-999,-999,-999,,,,,
1994,3,5,LAHO,-996,-996,-996,91.7,27.29,62.45,-996,0,-999,-999,-999,-999,,,,,
1994,3,6,LAHO,-996,-996,-996,99,65.98,86.21,-996,0,-999,-999,-999,-999,,,,,
1994,3,7,LAHO,-996,-996,-996,83.7,58.08,67.07,-996,0.11,-999,-999,-999,-999,,,,,
1994,3,8,LAHO,-996,-996,-996,99.6,79.39,95.19,-996,0.02,-999,-999,-999,-999,,,,,
1994,3,9,LAHO,-996,-996,-996,99.2,70.02,87.37,-996,0.32,-999,-999,-999,-999,,,,,
1994,3,10,LAHO,-996,-996,-996,88.4,50.93,73.23,-996,0,-999,-999,-999,-999,,,,,
1994,3,11,LAHO,-996,-996,-996,91.2,42.71,68.89,-996,0,-999,-999,-999,-999,,,,,
1994,3,12,LAHO,-996,-996,-996,90,58.67,76.34,-996,0.01,-999,-999,-999,-999,,,,,
1994,3,13,LAHO,-996,-996,-996,91.1,22.1,63.19,-996,0,-999,-999,-999,-999,,,,,
1994,3,14,LAHO,-996,-996,-996,77.1,14.51,49.08,-996,0,-999,-999,-999,-999,,,,,
1994,3,15,LAHO,-996,-996,-996,80,27.93,53.18,-996,0,-999,-999,-999,-999,,,,,
