year,plant_date,harvest_date,yield
1995,10/28/1994,6/19/1995,28.0678
1996,10/10/1995,6/21/1996,17.7148
1997,10/3/1996,6/13/1997,21.2334
1998,10/17/1997,6/12/1998,23.219
1999,10/9/1998,6/30/1999,14.5429
2000,10/12/1999,6/13/2000,20.4757
2002,11/21/2001,6/25/2002,32.2178
2003,10/8/2002,6/17/2003,30.3653
2004,10/15/2003,6/11/2004,25.4543
2005,9/24/2004,6/15/2005,23.1956
2006,10/14/2005,6/6/2006,41.5135
2007,10/2/2006,6/26/2007,36.6425
2008,10/12/2007,6/25/2008,38.4767
2009,9/30/2008,6/18/2009,23.475
2010,10/7/2009,6/11/2010,13.6972
2011,10/6/2010,6/6/2011,29.2725
2012,10/14/2011,5/22/2012,25.815
2013,10/11/2012,6/24/2013,24.1411
2014,10/24/2013,6/17/2014,30.6502
2015,10/21/2014,6/22/2015,21.3925
